Channel,Campaign,Campaign ID,Ad group,Ad group ID,Search keyword,Search term,Match type,Cost,Impressions,Reach,Clicks,Conversions,Age,Gender
Facebook,NA,916,NA,NA,NA,NA,NA,286.65,7350,4924.5,3348.66,196.98,30-34,M
Facebook,NA,916,NA,NA,NA,NA,NA,732.301,17861,7858.84,4715.304,314.3536,30-34,M
Facebook,NA,916,NA,NA,NA,NA,NA,26.334,693,360.36,317.1168,28.8288,30-34,M
Facebook,NA,916,NA,NA,NA,NA,NA,140.547,4259,2512.81,301.5372,50.2562,30-34,M
Facebook,NA,916,NA,NA,NA,NA,NA,140.522,4133,2355.81,376.9296,23.5581,30-34,M
Facebook,NA,916,NA,NA,NA,NA,NA,74.685,1915,1034.1,434.322,62.046,30-34,M
Facebook,NA,916,NA,NA,NA,NA,NA,687.06,15615,13116.6,1573.992,262.332,30-34,M
Facebook,NA,916,NA,NA,NA,NA,NA,383.285,10951,4818.44,3662.0144,192.7376,30-34,M
Facebook,NA,916,NA,NA,NA,NA,NA,98.91,2355,1413,1695.6,84.78,30-34,M
Facebook,NA,916,NA,NA,NA,NA,NA,361.076,9502,6081.28,3162.2656,243.2512,30-34,M
Facebook,NA,916,NA,NA,NA,NA,NA,41.616,1224,648.72,136.2312,19.4616,30-34,M
Facebook,NA,916,NA,NA,NA,NA,NA,22.785,735,448.35,143.472,17.934,30-34,M
Facebook,NA,916,NA,NA,NA,NA,NA,209.797,5117,4554.13,2185.9824,273.2478,30-34,M
Facebook,NA,916,NA,NA,NA,NA,NA,184.32,5120,3840,4569.6,268.8,30-34,M
Facebook,NA,916,NA,NA,NA,NA,NA,542.753,14669,11295.13,4066.2468,225.9026,30-34,M
Facebook,NA,916,NA,NA,NA,NA,NA,48.399,1241,608.09,85.1326,6.0809,30-34,M
Facebook,NA,916,NA,NA,NA,NA,NA,73.76,2305,1406.05,731.146,56.242,30-34,M
Facebook,NA,916,NA,NA,NA,NA,NA,44.032,1024,604.16,151.04,30.208,30-34,M
Facebook,NA,916,NA,NA,NA,NA,NA,208.215,4627,3192.63,2681.8092,223.4841,35-39,M
Facebook,NA,916,NA,NA,NA,NA,NA,777.962,21026,15138.72,4087.4544,454.1616,35-39,M
Facebook,NA,916,NA,NA,NA,NA,NA,62.568,1422,1123.38,1179.549,78.6366,35-39,M
Facebook,NA,916,NA,NA,NA,NA,NA,235.356,7132,3993.92,5311.9136,279.5744,35-39,M
Facebook,NA,916,NA,NA,NA,NA,NA,438.84,12190,7435.9,4164.104,520.513,35-39,M
Facebook,NA,916,NA,NA,NA,NA,NA,536.492,12193,8047.38,5633.166,563.3166,35-39,M
Facebook,NA,916,NA,NA,NA,NA,NA,139.944,3332,2165.8,758.03,151.606,35-39,M
Facebook,NA,916,NA,NA,NA,NA,NA,17.888,559,436.02,152.607,30.5214,35-39,M
Facebook,NA,916,NA,NA,NA,NA,NA,275.28,7440,3124.8,1874.88,124.992,35-39,M
Facebook,NA,916,NA,NA,NA,NA,NA,745.407,19113,8409.72,3027.4992,168.1944,40-44,M
Facebook,NA,916,NA,NA,NA,NA,NA,504.896,10976,8671.04,4162.0992,346.8416,40-44,M
Facebook,NA,916,NA,NA,NA,NA,NA,100.135,2861,1401.89,504.6804,84.1134,40-44,M
Facebook,NA,916,NA,NA,NA,NA,NA,55.92,1398,992.58,178.6644,19.8516,40-44,M
Facebook,NA,916,NA,NA,NA,NA,NA,976.497,23817,17386.41,4172.7384,347.7282,40-44,M
Facebook,NA,916,NA,NA,NA,NA,NA,1841.736,47224,42029.36,15971.1568,840.5872,45-49,M
Facebook,NA,916,NA,NA,NA,NA,NA,102.735,2283,1164.33,384.2289,34.9299,45-49,M
Facebook,NA,916,NA,NA,NA,NA,NA,85.098,2182,1658.32,646.7448,49.7496,45-49,M
Facebook,NA,916,NA,NA,NA,NA,NA,87.582,2654,1141.22,342.366,68.4732,30-34,F
Facebook,NA,916,NA,NA,NA,NA,NA,1960.61,57665,42095.45,22731.543,2525.727,30-34,F
Facebook,NA,916,NA,NA,NA,NA,NA,95.821,3091,2380.07,1309.0385,119.0035,30-34,F
Facebook,NA,916,NA,NA,NA,NA,NA,180.504,5014,4312.04,5174.448,344.9632,30-34,F
Facebook,NA,916,NA,NA,NA,NA,NA,1161.78,38726,26333.68,3950.052,790.0104,30-34,F
Facebook,NA,916,NA,NA,NA,NA,NA,44.19,1473,618.66,247.464,49.4928,30-34,F
Facebook,NA,916,NA,NA,NA,NA,NA,52.184,1186,723.46,130.2228,21.7038,30-34,F
Facebook,NA,916,NA,NA,NA,NA,NA,214.76,5369,2791.88,725.8888,55.8376,30-34,F
Facebook,NA,916,NA,NA,NA,NA,NA,688.851,22221,19332.27,27065.178,1353.2589,30-34,F
Facebook,NA,916,NA,NA,NA,NA,NA,41.475,1185,817.65,834.003,49.059,30-34,F
Facebook,NA,916,NA,NA,NA,NA,NA,416.608,13019,7681.21,9831.9488,614.4968,30-34,F
Facebook,NA,916,NA,NA,NA,NA,NA,107.844,2508,1404.48,1797.7344,112.3584,35-39,F
Facebook,NA,916,NA,NA,NA,NA,NA,193.512,5864,2345.6,562.944,70.368,35-39,F
Facebook,NA,916,NA,NA,NA,NA,NA,100.188,2783,2337.72,1823.4216,140.2632,35-39,F
Facebook,NA,916,NA,NA,NA,NA,NA,163.916,3812,1524.8,991.12,76.24,40-44,F
Facebook,NA,916,NA,NA,NA,NA,NA,335.97,11199,7839.3,5487.51,548.751,45-49,F
Facebook,NA,916,NA,NA,NA,NA,NA,11.68,292,251.12,50.224,2.5112,45-49,F
Facebook,NA,916,NA,NA,NA,NA,NA,562.304,17572,13706.16,8223.696,822.3696,45-49,F
Facebook,NA,916,NA,NA,NA,NA,NA,49.232,1448,897.76,1256.864,62.8432,45-49,F
Facebook,NA,936,NA,NA,NA,NA,NA,63.792,1772,1187.24,261.1928,23.7448,30-34,M
Facebook,NA,936,NA,NA,NA,NA,NA,413.199,13329,6931.08,9980.7552,554.4864,30-34,M
Facebook,NA,936,NA,NA,NA,NA,NA,614.655,13659,10517.43,14303.7048,841.3944,30-34,M
Facebook,NA,936,NA,NA,NA,NA,NA,31.777,739,539.47,215.788,10.7894,30-34,M
Facebook,NA,936,NA,NA,NA,NA,NA,19.965,605,344.85,275.88,27.588,30-34,M
Facebook,NA,936,NA,NA,NA,NA,NA,44.29,1030,721,807.52,50.47,30-34,M
Facebook,NA,936,NA,NA,NA,NA,NA,188.09,5374,3009.44,993.1152,90.2832,30-34,M
Facebook,NA,936,NA,NA,NA,NA,NA,34.76,790,331.8,298.62,19.908,30-34,M
Facebook,NA,936,NA,NA,NA,NA,NA,30.784,962,654.16,261.664,52.3328,30-34,M
Facebook,NA,936,NA,NA,NA,NA,NA,154.805,4423,1990.35,1950.543,139.3245,35-39,M
Facebook,NA,936,NA,NA,NA,NA,NA,396.224,12382,6067.18,5096.4312,364.0308,35-39,M
Facebook,NA,936,NA,NA,NA,NA,NA,96.954,2938,1968.46,944.8608,78.7384,35-39,M
